Words,Scores,Idf
abil,1.2416859533089645e-4,0.8926621691788046
actual,6.961488543271923e-4,0.45600747553500454
advertis,-0.00559258221516318,2.42410553956568
agenc,6.353814403691496e-4,1.4674324702458394
aggreg,-0.0010330308303088183,1.253087406814379
agreement,7.96548813763754e-5,1.2406718974474447
allow,0.002174006034169924,1.1854835998265698
although,-0.003593985395296731,1.6852399466201784
alway,9.817112358015269e-4,1.4817234894196571
amort,-3.7874311573703493e-4,1.3072939736078795
amount,-7.095332274396786e-5,0.6092877575355307
analysi,-0.0023514422326949796,1.728519333406376
annum,0.0056122538506540864,2.378314227599264
anticip,-6.108811400492082e-4,0.9761815314191306
appear,-3.140136568445485e-5,1.9044363517585206
asset,5.090309782807185e-4,0.5972056309939631
assumpt,-7.160525422281654e-4,1.017977128817756
automot,0.003489973615116615,2.901954269110859
avoid,0.005127965928273632,2.158061569072352
becam,7.8682400839771e-4,2.177670040460728
better,7.108439265706278e-4,1.943776886921796
billion,0.0017709302634262287,1.1386962402521086
boulevard,-0.001236876400982878,2.6333428743225373
broad,-0.006336743486526066,2.1666372457103957
cancel,9.649746159589247e-4,1.969889029982871
cash,0.001981282964728692,0.5187094566910154
challeng,-0.005367839590826294,1.859183776497573
channel,5.125408616287037e-4,2.7429981642977252
collater,-0.001024438406269509,2.404159275383301
communiti,-0.0010741740408681058,2.0075100929363194
complex,-0.0012992030020809143,2.97574043917009
complianc,-0.0029300048262177257,1.3745505447600561
compris,0.004078202426603135,1.8775698661326439
consumm,0.006653073414559419,1.8884979656472807
continu,-0.0038945696206165864,0.4519426455662142
contractor,0.0014241122766792303,2.558334890690008
convert,-1.1106480166379078e-4,1.5196674351646249
core,-0.0013946283627868804,1.9602448236864018
customari,0.00109333065103712,1.974551495932781
david,-0.0037747621872592455,2.2909748682448567
deal,-0.003387538680937331,2.1552581564198294
decis,-5.943472754842488e-4,1.3938104393195492
declin,-0.020441977214087362,1.4445362374680122
decreas,-0.0017348395226517129,1.0913401169944466
delay,-0.009059903714840244,1.6758072834438715
depreci,-0.005140269372453181,1.4648559038499924
dial,2.8888205789378216e-5,2.0317500006071114
difficult,-1.9819182162491864e-4,2.1912413770808485
digit,-0.0024884931235306233,2.8527305526769413
electron,0.001046918513496397,1.7848899226755854
enabl,0.002342810503702811,1.7140088006919614
enact,-0.0026715422893278658,2.727167798305267
ensur,-0.0012085668321777264,2.027840128355939
equal,-8.105665685853565e-4,1.3021118403307386
european,0.0018571201756620833,2.467780603068342
exceed,0.0022001239828103826,1.336028816051993
excel,0.0043732170199807865,2.53334005334002
except,0.004478221728406808,0.5212556649004783
expens,0.0013969803933509173,0.6083932808689402
experienc,-0.01166179212395941,2.1062069630719624
exposur,-0.0023596976379632673,2.292177996523132
extens,0.0017132872960443097,1.6725627512346208
extern,-4.394692413160717e-4,2.5723973477733235
facil,0.010634929891935931,1.0417873268254287
favor,0.007264847831626949,1.3685838763738736
fit,-4.222555178332631e-4,2.887052319961735
forecast,-1.7628222696557347e-4,1.9289701315427765
four,9.930187486873028e-5,1.525926557634571
gift,-0.0022026790366368727,2.9462382342463624
goodwil,-7.450601652629805e-4,2.1187238900144982
grade,-0.0013079195350867692,2.825686260292302
grew,0.0013886211340391294,2.4271627110082297
hand,3.5266782331285515e-4,1.9460453188964242
harbor,0.0011825380945349369,1.6845840416300053
highlight,0.002357777998519998,2.2062261247879436
holiday,-0.0015185732718072118,2.8501565486817686
howev,-0.001453974196161545,1.133854227465767
identifi,5.851838157063219e-4,1.0002545828021883
impact,-0.004090502122072294,0.921521592255773
improv,0.032525774502121685,0.9870025863670112
includ,0.0010448287363733477,0.009315277223842594
increas,0.01127270131197398,0.5022929420894272
inher,6.558885833219511e-5,2.3846030965894336
injunct,0.0018808794543630925,2.7181161010369252
interim,-0.0028213406085071334,2.484987749500141
introduct,-0.003542269004458135,2.880044921467832
larger,-8.726381516529569e-5,2.8339299525009474
led,3.376405398734466e-4,2.5818238293132136
leverag,0.0026391753353792466,1.8755395878168424
like,-5.200370449591195e-4,1.489365773913111
live,0.003171961584643962,1.4484406981011801
local,0.0018850242503082317,1.4601299695603391
longer,-0.0014458823896407345,1.7376965161997118
